"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72447672906202214138.ret"
""
"Pago título: 2220000003 5263 - ANHANGUERA EDUCACION 30/06/2022 LQ 299,07 299,07"
"Pago título: 2220000029 3575 - CONDOMINIO RESIDENCI 30/06/2022 LQ 292,76 292,76"
"Pago título: 2220000041 4818 - NOTRE DAME INTERMEDI 30/06/2022 LQ 292,76 292,76"
"Pago título: 2220000047 2948 - ASSOCIACAO RESIDENCI 30/06/2022 LQ 292,76 292,76"
"Pago título: 2220000065 525 - ASSOCIACAO PROPR DA G 30/06/2022 LQ 292,76 292,76"
"Pago título: 2220000071 1051 - ITABRAS MINERACAO  L 30/06/2022 LQ 292,75 292,75"
"Pago título: 2220000175 394 - CONDOMINIO EDIFICIO M 30/06/2022 LQ 261,25 261,25"
"Pago título: 2220000227 3759 - HOTEL FAZENDA DONA C 30/06/2022 LQ 250,31 250,31"
"Pago título: 2220000249 2842 - CONDOMINIO RESIDENCI 30/06/2022 LQ 246,37 246,37"
"Pago título: 2220000259 3850 - PORTO DE AREIA RIO B 30/06/2022 LQ 243,96 243,96"
"Pago título: 2220000263 7290 - CONDOMINIO AMBAR 30/06/2022 LQ 243,42 243,42"
"Pago título: 2220000273 3697 - RIO NEGRO EMPREENDIM 30/06/2022 LQ 240,87 240,87"
"Pago título: 2220000295 1165 - ASSOCIACAO EDUCADORA 30/06/2022 LQ 236,36 236,36"
"Pago título: 2220000296 1165 - ASSOCIACAO EDUCADORA 29/07/2022 LQ 236,36 236,36"
"Pago título: 2220000311 3494 - MANCHESTER QUIMICA D 30/06/2022 LQ 232,75 232,75"
"Pago título: 2220000319 3102 - HOTEIS SANTA ROSA LT 30/06/2022 LQ 230,06 230,06"
"Pago título: 2220000323 5456 - EMPREENDIMENTO HOTEL 30/06/2022 LQ 229,99 229,99"
"Pago título: 2220000377 79 - HOTEL E SPA JARDIM DA 30/06/2022 LQ 219,57 219,57"
"Pago título: 2220000379 4279 - BOARELIS BRASIL S.A. 30/06/2022 LQ 219,57 219,57"
"Pago título: 2220000489 102 - FSO PRODUTOS ORGANICO 30/06/2022 LQ 204,93 204,93"
"Pago título: 2220000588 5704 - CONDOMINIO EDIFICIO 30/06/2022 LQ 256,58 256,58"
"Pago título: 2220000606 1447 - CERAMICA GIANFRANCIS 30/06/2022 LQ 250,26 250,26"
"Pago título: 2220000618 1975 - TORETI & TORETI COME 30/06/2022 LQ 247,45 247,45"
"Pago título: 2220000624 2690 - CONTEUDO COMERCIO E 30/06/2022 LQ 245,93 245,93"
"Pago título: 2220000641 2333 - AGUA BRAG ABASTECIME 30/06/2022 LQ 240,63 240,63"
"Pago título: 2220000643 5777 - HOSPITAL SANTA ELISA 30/06/2022 LQ 239,74 239,74"
"Pago título: 2220000644 420 - CONDOMINIO EDIFICIO S 30/06/2022 LQ 239,31 239,31"
"Pago título: 2220000672 5610 - ASSOCIACAO DE PROPRI 30/06/2022 LQ 234,21 234,21"
"Pago título: 2220000676 2765 - CONDOMINIO EDIFICIO 30/06/2022 LQ 233,88 233,88"
